com.samsung.health.caffeine_intake,6123001,5
start_time,amount,custom,update_time,create_time,time_offset,deviceuuid,unit_amount,comment,pkg_name,datauuid
2019-05-30 05:46:51.725,80.0,,2019-05-30 05:46:52.082,2019-05-30 05:46:52.082,UTC+0300,lv82WtQZxZ,80.0,,com.sec.android.app.shealth,9fef3755-a7d0-4c10-a6c8-8c06f2606bb2,
2019-06-05 19:54:22.599,80.0,,2019-06-05 19:54:22.969,2019-06-05 19:54:22.969,UTC+0300,lv82WtQZxZ,80.0,,com.sec.android.app.shealth,22d45e7f-a98d-4d88-946e-363fd73964e4,
2019-06-06 20:59:59.998,80.0,,2019-06-07 00:59:25.238,2019-06-07 00:59:25.238,UTC+0300,lv82WtQZxZ,80.0,,com.sec.android.app.shealth,9a50fb6f-a504-4356-8dde-42c892b1f387,
2019-05-30 05:47:25.082,80.0,,2019-05-30 05:47:25.441,2019-05-30 05:47:25.441,UTC+0300,lv82WtQZxZ,80.0,,com.sec.android.app.shealth,89dc14e0-d6a9-49b8-bf55-94b1ca2685d3,
2019-05-30 05:47:26.453,80.0,,2019-05-30 05:47:26.815,2019-05-30 05:47:26.815,UTC+0300,lv82WtQZxZ,80.0,,com.sec.android.app.shealth,665b5825-e71e-4883-bfec-a2d3b101f9a4,
2019-06-05 19:54:23.387,80.0,,2019-06-05 19:54:23.755,2019-06-05 19:54:23.755,UTC+0300,lv82WtQZxZ,80.0,,com.sec.android.app.shealth,1056624b-dd97-4924-97ba-bb11a5025482,
2019-06-05 19:54:24.022,80.0,,2019-06-05 19:54:24.391,2019-06-05 19:54:24.391,UTC+0300,lv82WtQZxZ,80.0,,com.sec.android.app.shealth,d6ee7302-a58e-44fd-81fb-65e11da043ff,
2019-06-06 20:59:59.998,80.0,,2019-06-07 00:59:25.238,2019-06-07 00:59:25.238,UTC+0300,lv82WtQZxZ,80.0,,com.sec.android.app.shealth,672f5bda-5cc0-4dcb-b929-759cdda2e1b9,
2019-05-30 05:47:28.047,80.0,,2019-05-30 05:47:28.407,2019-05-30 05:47:28.407,UTC+0300,lv82WtQZxZ,80.0,,com.sec.android.app.shealth,5dd87bb4-abec-40bc-a2a2-1da14c663f4d,
2019-06-06 20:59:59.998,80.0,,2019-06-07 00:59:25.238,2019-06-07 00:59:25.238,UTC+0300,lv82WtQZxZ,80.0,,com.sec.android.app.shealth,31967ee3-2342-4346-83d8-a19fd1ea5664,
2019-06-05 19:54:20.020,80.0,,2019-06-05 19:54:20.393,2019-06-05 19:54:20.393,UTC+0300,lv82WtQZxZ,80.0,,com.sec.android.app.shealth,837b01dd-331f-4688-9c5c-22f2bf344965,
2019-06-05 19:54:21.896,80.0,,2019-06-05 19:54:22.264,2019-06-05 19:54:22.264,UTC+0300,lv82WtQZxZ,80.0,,com.sec.android.app.shealth,9ff6f68b-25ac-4403-bb00-f1d9411bef51,
2019-06-05 19:54:25.412,80.0,,2019-06-05 19:54:25.783,2019-06-05 19:54:25.783,UTC+0300,lv82WtQZxZ,80.0,,com.sec.android.app.shealth,9d347fcd-4ffa-4ff6-9227-318063e946b2,
2019-06-05 19:54:24.709,80.0,,2019-06-05 19:54:25.078,2019-06-05 19:54:25.078,UTC+0300,lv82WtQZxZ,80.0,,com.sec.android.app.shealth,b0c0a291-bd47-45b0-831e-c3e73c496e2d,
2019-06-06 20:59:59.998,80.0,,2019-06-07 00:59:25.237,2019-06-07 00:59:25.237,UTC+0300,lv82WtQZxZ,80.0,,com.sec.android.app.shealth,dd7b1492-0eb8-4ebb-8f08-b6ab34aba209,
