com.samsung.health.food_intake,6123001,4
start_time,amount,custom,update_time,create_time,meal_type,name,unit,calorie,time_offset,deviceuuid,comment,pkg_name,datauuid,food_info_id
2019-02-01 06:00:00.000,1.0,,2019-02-01 12:41:59.306,2019-02-01 12:41:59.306,100001,,-1,897.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,91921061-9b73-4cc8-aec3-bc95c4ac7dd3,meal_auto_filled,
2019-02-03 11:00:00.000,1.0,,2019-02-03 11:01:00.098,2019-02-03 11:01:00.098,100002,,-1,897.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,398f71a0-396c-4d12-953d-4d6ad3a96bb6,meal_auto_filled,
2019-02-04 16:00:00.000,1.0,,2019-02-04 16:01:36.674,2019-02-04 16:01:36.674,100003,,-1,897.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,c19120e5-9995-4a3d-9269-b38e5f5ee4f4,meal_auto_filled,
2019-02-06 16:00:00.000,1.0,,2019-02-06 16:01:06.951,2019-02-06 16:01:06.951,100003,,-1,897.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,8ed9897e-4902-48fb-9d63-8b9ad27b0f67,meal_auto_filled,
2019-02-08 16:00:00.000,1.0,,2019-02-08 16:01:34.717,2019-02-08 16:01:34.717,100003,,-1,897.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,d7ed17c3-c553-46a1-b2d6-e9583cc66ceb,meal_auto_filled,
2019-02-10 16:00:00.000,1.0,,2019-02-10 16:01:22.654,2019-02-10 16:01:22.654,100003,,-1,897.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,6ad78b76-ed18-4b4f-ace4-c20025fa1bad,meal_auto_filled,
2019-02-12 16:00:00.000,1.0,,2019-02-12 16:00:44.063,2019-02-12 16:00:44.063,100003,,-1,897.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,659383c5-273d-41d5-b701-69eeb241f07a,meal_auto_filled,
2019-02-14 16:00:00.000,1.0,,2019-02-14 16:03:21.466,2019-02-14 16:03:21.466,100003,,-1,897.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,66336751-12ff-42b4-b278-b796cbc4e341,meal_auto_filled,
2019-02-16 16:00:00.000,1.0,,2019-02-16 16:02:51.513,2019-02-16 16:02:51.513,100003,,-1,897.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,71681d05-d7ac-4960-9410-9da71df65aa7,meal_auto_filled,
2019-02-18 16:00:00.000,1.0,,2019-02-18 16:01:09.280,2019-02-18 16:01:09.280,100003,,-1,881.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,f3a4dc8a-14d6-485d-a2f0-7c03ab7ca8d0,meal_auto_filled,
2019-02-20 16:00:00.000,1.0,,2019-02-20 16:01:26.312,2019-02-20 16:01:26.312,100003,,-1,881.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,62d33f9d-2795-4dad-9e62-b16c467ea387,meal_auto_filled,
2019-02-22 16:00:00.000,1.0,,2019-02-22 16:01:26.162,2019-02-22 16:01:26.162,100003,,-1,881.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,d016a936-b5a3-4e70-be2f-cac1cb811e69,meal_auto_filled,
2019-02-24 16:00:00.000,1.0,,2019-02-24 16:01:00.546,2019-02-24 16:01:00.546,100003,,-1,889.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,8a25248c-eeba-407f-91a0-1ca3d16136c5,meal_auto_filled,
2019-02-26 11:00:00.000,1.0,,2019-02-26 11:00:30.975,2019-02-26 11:00:30.975,100002,,-1,846.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,f9edaa8d-4b53-417b-bdf1-7353ab111200,meal_auto_filled,
2019-02-28 11:00:00.000,1.0,,2019-02-28 11:00:24.386,2019-02-28 11:00:24.386,100002,,-1,846.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,068a27c8-5ffe-40b6-a567-c677d3474e8b,meal_auto_filled,
2019-03-02 11:00:00.000,1.0,,2019-03-02 11:02:07.714,2019-03-02 11:02:07.714,100002,,-1,846.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,de8a9fd9-9f3f-43b5-88b1-eaf5fda41e94,meal_auto_filled,
