com.samsung.health.nutrition,6123001,2
potassium,vitamin_a,vitamin_c,cholesterol,start_time,custom,sodium,dietary_fiber,total_fat,update_time,create_time,meal_type,monosaturated_fat,protein,polysaturated_fat,iron,sugar,title,calcium,calorie,time_offset,deviceuuid,saturated_fat,trans_fat,pkg_name,carbohydrate,datauuid
0.0,0.0,0.0,0.0,2019-02-01 06:00:00.000,,0.0,0.0,0.0,2019-02-01 12:41:59.384,2019-02-01 12:41:59.384,100001,0.0,0.0,0.0,0.0,0.0,الفطور,0.0,897.0,UTC+0300,lv82WtQZxZ,0.0,0.0,com.sec.android.app.shealth,0.0,9df00250-c23f-4594-b960-2f3b2ea03859,
0.0,0.0,0.0,0.0,2019-02-01 11:00:00.000,,0.0,0.0,0.0,2019-02-01 12:41:59.492,2019-02-01 12:41:59.492,100002,0.0,0.0,0.0,0.0,0.0,الغداء,0.0,897.0,UTC+0300,lv82WtQZxZ,0.0,0.0,com.sec.android.app.shealth,0.0,045b3e3f-99f9-4750-9a13-522002a143cc,
0.0,0.0,0.0,0.0,2019-02-01 16:00:00.000,,0.0,0.0,0.0,2019-02-01 16:01:22.982,2019-02-01 16:01:22.982,100003,0.0,0.0,0.0,0.0,0.0,العشاء,0.0,897.0,UTC+0300,lv82WtQZxZ,0.0,0.0,com.sec.android.app.shealth,0.0,14ccecff-de48-44db-b5ed-46cfb257cbef,
167.0,6.0,0.0,210.0,2019-02-03 05:00:00.257,,919.0,2.4,9.9,2019-02-03 11:06:49.315,2019-02-03 06:02:28.834,100001,3.3,13.8,2.5,26.0,4.6,الفطور,18.0,355.0,UTC+0300,lv82WtQZxZ,2.5,0.0,com.sec.android.app.shealth,51.0,ad9407a7-1141-4c3a-9b0a-6b136a3fc536,
0.0,0.0,0.0,0.0,2019-02-03 16:00:00.000,,0.0,0.0,0.0,2019-02-03 16:00:24.117,2019-02-03 16:00:24.117,100003,0.0,0.0,0.0,0.0,0.0,العشاء,0.0,897.0,UTC+0300,lv82WtQZxZ,0.0,0.0,com.sec.android.app.shealth,0.0,9cb185b1-9718-49d1-90fa-9afc0e9c452d,
0.0,0.0,0.0,0.0,2019-02-05 06:00:00.000,,0.0,0.0,0.0,2019-02-05 06:35:21.226,2019-02-05 06:35:21.226,100001,0.0,0.0,0.0,0.0,0.0,الفطور,0.0,897.0,UTC+0300,lv82WtQZxZ,0.0,0.0,com.sec.android.app.shealth,0.0,3db6f6bd-c352-4682-95fa-1700a657b23a,
0.0,0.0,0.0,0.0,2019-02-05 16:00:00.000,,0.0,0.0,0.0,2019-02-05 16:01:28.150,2019-02-05 16:01:28.150,100003,0.0,0.0,0.0,0.0,0.0,العشاء,0.0,897.0,UTC+0300,lv82WtQZxZ,0.0,0.0,com.sec.android.app.shealth,0.0,b5f67ede-ec13-4762-9fd6-791ba19b5b0b,
0.0,0.0,0.0,0.0,2019-02-02 06:00:00.000,,0.0,0.0,0.0,2019-02-02 06:03:11.691,2019-02-02 06:03:11.691,100001,0.0,0.0,0.0,0.0,0.0,الفطور,0.0,897.0,UTC+0300,lv82WtQZxZ,0.0,0.0,com.sec.android.app.shealth,0.0,0ff742c8-271e-46f5-90b1-363a722c5cdc,
0.0,0.0,0.0,0.0,2019-02-07 06:00:00.000,,0.0,0.0,0.0,2019-02-07 06:02:37.927,2019-02-07 06:02:37.927,100001,0.0,0.0,0.0,0.0,0.0,الفطور,0.0,897.0,UTC+0300,lv82WtQZxZ,0.0,0.0,com.sec.android.app.shealth,0.0,eed16f6f-035a-4466-b807-bedb524bc0ad,
0.0,0.0,0.0,0.0,2019-02-03 11:00:00.000,,0.0,0.0,0.0,2019-02-03 11:01:00.240,2019-02-03 11:01:00.240,100002,0.0,0.0,0.0,0.0,0.0,الغداء,0.0,897.0,UTC+0300,lv82WtQZxZ,0.0,0.0,com.sec.android.app.shealth,0.0,bfe31865-0f06-4897-b696-426c7461a700,
0.0,0.0,0.0,0.0,2019-02-04 06:00:00.000,,0.0,0.0,0.0,2019-02-04 06:01:39.106,2019-02-04 06:01:39.106,100001,0.0,0.0,0.0,0.0,0.0,الفطور,0.0,897.0,UTC+0300,lv82WtQZxZ,0.0,0.0,com.sec.android.app.shealth,0.0,dd312744-c5b5-487d-8b3e-2323830aeb76,
