com.samsung.health.water_intake,6123001,5
start_time,amount,custom,update_time,create_time,time_offset,deviceuuid,unit_amount,comment,pkg_name,datauuid
2019-01-29 20:10:27.895,250.0,,2019-01-29 20:10:28.258,2019-01-29 20:10:28.258,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,0bf7bd98-fd9c-49e9-be41-dbca59100bec,
2019-01-29 20:11:36.036,250.0,,2019-01-29 20:11:36.394,2019-01-29 20:11:36.394,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,0fc978fb-b9e4-4f2a-acb4-b2d29469d464,
2019-01-29 20:11:33.742,250.0,,2019-01-29 20:11:34.109,2019-01-29 20:11:34.109,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,881123fb-e8cd-4ee9-971c-ec41893ae437,
2019-01-29 20:10:29.812,250.0,,2019-01-29 20:10:30.173,2019-01-29 20:10:30.173,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,37315ec2-35a3-41c1-9318-c1e5eb5dd3bf,
2019-01-29 20:10:28.837,250.0,,2019-01-29 20:10:29.201,2019-01-29 20:10:29.201,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,01652b60-e309-4c35-905f-020021ce345f,
2019-01-29 20:11:42.693,250.0,,2019-01-29 20:11:43.050,2019-01-29 20:11:43.050,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,1a145c8d-5d91-4238-904f-9e899b449311,
2019-01-29 20:11:40.278,250.0,,2019-01-29 20:11:40.637,2019-01-29 20:11:40.637,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,4439df26-05f7-4d47-ae7a-683724b8cff8,
2019-01-29 20:11:39.776,250.0,,2019-01-29 20:11:40.133,2019-01-29 20:11:40.133,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,94edd3b1-8821-4a7e-af7e-b6f3ba06d821,
2019-01-29 20:11:36.957,250.0,,2019-01-29 20:11:37.318,2019-01-29 20:11:37.318,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,37ed0f57-ce6b-4394-b1e8-1f5acfa2cf09,
2019-01-29 20:11:34.645,250.0,,2019-01-29 20:11:35.006,2019-01-29 20:11:35.006,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,78744ebb-3d19-4a95-ab89-6ec60e292e00,
