com.samsung.shealth.activity.day_summary,6123001,1
step_count,active_time,others_time,update_time,create_time,goal,longest_active_time,score,distance,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
0,0,0,2019-01-28 21:12:40.484,2019-01-28 21:12:40.484,-1,0,0,0.0,0.0,ac3fde55-d61f-4810-98a1-0a62e1a8b267.extra_data.json,lv82WtQZxZ,0,com.sec.android.app.shealth,0,-1,ac3fde55-d61f-4810-98a1-0a62e1a8b267,1546387200000,
5864,3713452,0,2019-01-29 21:00:00.833,2019-01-28 21:12:40.314,60,360000,101,4574.8896,264.06998,eee97bf7-1d4b-463c-b073-78192da5b4a6.extra_data.json,lv82WtQZxZ,30317,com.sec.android.app.shealth,3683135,28800000,eee97bf7-1d4b-463c-b073-78192da5b4a6,1548720000000,
0,0,0,2019-01-28 21:12:40.547,2019-01-28 21:12:40.547,-1,0,0,0.0,0.0,75f5ca11-8637-438e-93a5-d4c87db49907.extra_data.json,lv82WtQZxZ,0,com.sec.android.app.shealth,0,-1,75f5ca11-8637-438e-93a5-d4c87db49907,1546473600000,
0,0,0,2019-01-28 21:12:40.975,2019-01-28 21:12:40.975,-1,0,0,0.0,0.0,eb1aa10a-30fc-45af-b223-3d5c5b2fd51d.extra_data.json,lv82WtQZxZ,0,com.sec.android.app.shealth,0,-1,eb1aa10a-30fc-45af-b223-3d5c5b2fd51d,1546905600000,
0,0,0,2019-01-28 21:12:41.218,2019-01-28 21:12:41.218,-1,0,0,0.0,0.0,75055456-6f49-4f8b-b44f-579466fef13e.extra_data.json,lv82WtQZxZ,0,com.sec.android.app.shealth,0,-1,75055456-6f49-4f8b-b44f-579466fef13e,1547424000000,
0,0,0,2019-01-28 21:12:40.796,2019-01-28 21:12:40.796,-1,0,0,0.0,0.0,64854451-73d5-4de5-a762-518ffcb067ee.extra_data.json,lv82WtQZxZ,0,com.sec.android.app.shealth,0,-1,64854451-73d5-4de5-a762-518ffcb067ee,1546819200000,
0,0,0,2019-01-28 21:12:41.014,2019-01-28 21:12:41.014,-1,0,0,0.0,0.0,dbad837e-eac5-4190-8db5-4752e3d8e0b3.extra_data.json,lv82WtQZxZ,0,com.sec.android.app.shealth,0,-1,dbad837e-eac5-4190-8db5-4752e3d8e0b3,1546992000000,
0,0,0,2019-01-28 21:12:41.448,2019-01-28 21:12:41.448,-1,0,0,0.0,0.0,75b9cf1c-73a1-4f79-bb4a-18131a14ad9e.extra_data.json,lv82WtQZxZ,0,com.sec.android.app.shealth,0,-1,75b9cf1c-73a1-4f79-bb4a-18131a14ad9e,1547942400000,
0,0,0,2019-01-28 21:12:41.671,2019-01-28 21:12:41.671,-1,0,0,0.0,0.0,70e996bf-5e8e-44ac-bfd9-899961d74d7f.extra_data.json,lv82WtQZxZ,0,com.sec.android.app.shealth,0,-1,70e996bf-5e8e-44ac-bfd9-899961d74d7f,1548460800000,
0,0,0,2019-01-28 21:12:41.260,2019-01-28 21:12:41.260,-1,0,0,0.0,0.0,e2a579a6-5c8f-4e93-b8e2-53cb122df936.extra_data.json,lv82WtQZxZ,0,com.sec.android.app.shealth,0,-1,e2a579a6-5c8f-4e93-b8e2-53cb122df936,1547510400000,
