com.samsung.shealth.activity.goal,6123001,1
update_time,create_time,value,time_offset,deviceuuid,pkg_name,set_time,datauuid
2019-06-11 03:39:12.476,2019-06-11 03:39:12.476,60,UTC+0400,lv82WtQZxZ,com.sec.android.app.shealth,1560224352474,34c8aed0-1fa3-46c9-aa68-bd09319a8219,
2019-06-10 15:36:18.455,2019-06-10 15:36:18.455,60,UTC+0400,lv82WtQZxZ,com.sec.android.app.shealth,1560180978451,99f9f416-0182-412c-a59a-b9e5088183e8,
2019-07-08 18:19:40.288,2019-07-08 18:19:40.288,60,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,1562609980286,898f212d-073c-4737-9809-538f2b0b3460,
2019-07-08 18:19:26.324,2019-07-08 18:19:26.324,60,UTC+0900,lv82WtQZxZ,com.sec.android.app.shealth,1562609966317,faf182f6-ff7b-4033-a337-79e84458a7ef,
2019-06-11 03:39:31.418,2019-06-11 03:39:31.418,60,UTC+0900,lv82WtQZxZ,com.sec.android.app.shealth,1560224371416,e1e72b57-bbfb-4283-bba4-4febe6a554a2,
2019-07-08 15:25:27.852,2019-07-08 15:25:27.852,60,UTC+0400,lv82WtQZxZ,com.sec.android.app.shealth,1562599527811,a90fcdca-f6dc-4ae0-af22-5048378b6703,
2019-06-11 03:36:59.812,2019-06-11 03:36:59.812,60,UTC+0900,lv82WtQZxZ,com.sec.android.app.shealth,1560224219802,d34a1580-58b3-4958-9c38-8c7c543ffabb,
2019-01-28 21:12:40.826,2019-01-28 21:12:40.826,60,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,1548709960807,e1f4db57-573f-4fb0-89a2-3dab9ece0e20,
2019-07-08 18:19:40.193,2019-07-08 18:19:40.193,60,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,1562609980189,d8e653f4-0359-4ee8-9b23-4a7e24b04632,
2019-07-08 15:25:27.908,2019-07-08 15:25:27.908,60,UTC+0400,lv82WtQZxZ,com.sec.android.app.shealth,1562599527907,d33b7291-68de-456d-a2a5-b37b5efe9d7a,
2020-03-13 07:06:16.281,2020-03-13 07:06:16.281,60,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,1584083176256,5e060aa0-057a-4cd5-a632-c2965a4385fa,
