com.samsung.shealth.exercise,6123001,11
live_data_internal,mission_value,subset_data,total_calorie,completion_status,pace_info_id,pace_live_data,sensing_status,source_type,mission_type,tracking_status,program_id,reward_status,heart_rate_sample_count,mission_extra_value,program_schedule_id,heart_rate_deviceuuid,location_data_internal,additional_internal,com.samsung.health.exercise.duration,com.samsung.health.exercise.additional,com.samsung.health.exercise.mean_caloricburn_rate,com.samsung.health.exercise.location_data,com.samsung.health.exercise.start_time,com.samsung.health.exercise.exercise_type,com.samsung.health.exercise.custom,com.samsung.health.exercise.max_altitude,com.samsung.health.exercise.incline_distance,com.samsung.health.exercise.mean_heart_rate,com.samsung.health.exercise.count_type,com.samsung.health.exercise.mean_rpm,com.samsung.health.exercise.min_altitude,com.samsung.health.exercise.max_heart_rate,com.samsung.health.exercise.update_time,com.samsung.health.exercise.create_time,com.samsung.health.exercise.max_power,com.samsung.health.exercise.max_speed,com.samsung.health.exercise.mean_cadence,com.samsung.health.exercise.min_heart_rate,com.samsung.health.exercise.count,com.samsung.health.exercise.distance,com.samsung.health.exercise.max_caloricburn_rate,com.samsung.health.exercise.calorie,com.samsung.health.exercise.max_cadence,com.samsung.health.exercise.decline_distance,com.samsung.health.exercise.vo2_max,com.samsung.health.exercise.time_offset,com.samsung.health.exercise.deviceuuid,com.samsung.health.exercise.max_rpm,com.samsung.health.exercise.comment,com.samsung.health.exercise.live_data,com.samsung.health.exercise.mean_power,com.samsung.health.exercise.mean_speed,com.samsung.health.exercise.pkg_name,com.samsung.health.exercise.altitude_gain,com.samsung.health.exercise.altitude_loss,com.samsung.health.exercise.exercise_custom_type,com.samsung.health.exercise.end_time,com.samsung.health.exercise.datauuid
,,,,1,,,,4,0,0,,,,,,,,,684957,,,,2019-02-18 09:07:09.000,1001,,,,,,,,,2019-02-18 09:18:37.125,2019-02-18 09:18:37.125,,1.9444444,,,,824.9,,43.56,,,,UTC+0300,lv82WtQZxZ,,,f3919a45-d258-4c2d-912e-8baeccb3edbd.com.samsung.health.exercise.live_data.json,,1.2043092,com.sec.android.app.shealth,,,,2019-02-18 09:18:33.000,f3919a45-d258-4c2d-912e-8baeccb3edbd,
,,,,1,,,,4,0,0,,,,,,,,,730222,,,,2019-05-25 01:56:05.000,1001,,,,,,,,,2019-05-25 03:01:48.069,2019-05-25 03:01:48.069,,3.5555556,,,,1135.14,,65.02,,,,UTC+0300,lv82WtQZxZ,,,32827d10-3f98-4327-826d-92870bb83f9a.com.samsung.health.exercise.live_data.json,,1.5545135,com.sec.android.app.shealth,,,,2019-05-25 02:08:15.000,32827d10-3f98-4327-826d-92870bb83f9a,
,,,,1,,,,4,0,0,,,,,,,,,807564,,,,2019-03-12 13:04:00.000,1001,,,,,,,,,2019-03-12 13:22:52.711,2019-03-12 13:22:52.711,,1.5555556,,,,1050.7,,55.61,,,,UTC+0300,lv82WtQZxZ,,,7f1f43f3-7f57-4140-a7d3-0e63f3e79e4c.com.samsung.health.exercise.live_data.json,,1.3010734,com.sec.android.app.shealth,,,,2019-03-12 13:17:27.000,7f1f43f3-7f57-4140-a7d3-0e63f3e79e4c,
,,,,1,,,,4,0,0,,,,,,,,,712111,,,,2019-02-18 05:56:15.000,1001,,,,,,,,,2019-02-18 06:13:37.968,2019-02-18 06:13:37.968,,2.155745,,,,1056.25,,59.99,,,,UTC+0300,lv82WtQZxZ,,,380c8296-ba85-493b-b33c-b7e640593ae1.com.samsung.health.exercise.live_data.json,,1.4832659,com.sec.android.app.shealth,,,,2019-02-18 06:08:07.000,380c8296-ba85-493b-b33c-b7e640593ae1,
,,,,1,,,,4,0,0,,,,,,,,,815648,,,,2019-05-28 01:57:00.000,1001,,,,,,,,,2019-05-28 02:11:41.120,2019-05-28 02:11:41.120,,2.8333333,,,,1163.59,,63.559998,,,,UTC+0300,lv82WtQZxZ,,,a11e6663-42bb-4ae2-9f15-64f79337aae8.com.samsung.health.exercise.live_data.json,,1.4265835,com.sec.android.app.shealth,,,,2019-05-28 02:10:36.000,a11e6663-42bb-4ae2-9f15-64f79337aae8,
,,,,1,,,,4,0,0,,,,,,,,,813341,,,,2019-05-01 17:36:00.000,1001,,,,,,,,,2019-05-01 17:50:54.590,2019-05-01 17:50:54.590,,3.4722223,,,,1145.85,,60.829998,,,,UTC+0300,lv82WtQZxZ,,,313b8e64-de9b-4e5b-9def-71748c1587ef.com.samsung.health.exercise.live_data.json,,1.4088186,com.sec.android.app.shealth,,,,2019-05-01 17:49:33.000,313b8e64-de9b-4e5b-9def-71748c1587ef,
,,,,1,,,,4,0,0,,,,,,,,,688133,,,,2019-06-11 04:33:00.000,1001,,,,,,,,,2019-06-11 04:48:37.180,2019-06-11 04:48:37.180,,1.5277778,,,,871.85,,56.61,,,,UTC+0900,lv82WtQZxZ,,,ae4aac6d-9557-4155-aec4-7ba0b4cfcc05.com.samsung.health.exercise.live_data.json,,1.2669789,com.sec.android.app.shealth,,,,2019-06-11 04:44:28.000,ae4aac6d-9557-4155-aec4-7ba0b4cfcc05,
,,,,1,,,,4,0,0,,,,,,,,,1396405,,,,2019-06-19 07:16:15.000,1001,,,,,,,,,2019-06-19 07:47:41.182,2019-06-19 07:47:41.182,,2.2222223,,,,1625.6901,,91.42,,,,UTC+0900,lv82WtQZxZ,,,e9eef90b-0834-418b-a2cc-7ccec0be2d40.com.samsung.health.exercise.live_data.json,,1.1641966,com.sec.android.app.shealth,,,,2019-06-19 07:39:31.000,e9eef90b-0834-418b-a2cc-7ccec0be2d40,
,,,,1,,,,4,0,0,,,,,,,,,674960,,,,2019-06-15 09:45:00.000,1001,,,,,,,,,2019-06-15 09:56:57.308,2019-06-15 09:56:57.308,,2.6666667,,,,804.49,,45.97,,,,UTC+0900,lv82WtQZxZ,,,c941cb65-6e28-4f07-9d9c-3d5876f417e7.com.samsung.health.exercise.live_data.json,,1.1919076,com.sec.android.app.shealth,,,,2019-06-15 09:56:15.000,c941cb65-6e28-4f07-9d9c-3d5876f417e7,
,,,,1,,,,4,0,0,,,,,,,,,843192,,,,2019-07-03 06:25:00.000,1001,,,,,,,,,2019-07-03 06:44:17.471,2019-07-03 06:44:17.471,,1.8333334,,,,1102.1,,43.29,,,,UTC+0900,lv82WtQZxZ,,,af00e0f0-1ad1-4991-8438-72fc96acf02d.com.samsung.health.exercise.live_data.json,,1.307057,com.sec.android.app.shealth,,,,2019-07-03 06:39:03.000,af00e0f0-1ad1-4991-8438-72fc96acf02d,
,,,,1,,,,4,0,0,,,,,,,,,791503,,,,2019-04-21 09:39:00.000,1001,,,,,,,,,2019-04-21 11:56:59.354,2019-04-21 11:56:59.354,,2.4235,,,,1092.0,,61.84,,,,UTC+0300,lv82WtQZxZ,,,acf91940-c227-4a4e-8ddf-3822df4deb66.com.samsung.health.exercise.live_data.json,,1.3796536,com.sec.android.app.shealth,,,,2019-04-21 09:52:11.000,acf91940-c227-4a4e-8ddf-3822df4deb66,
,,,,1,,,,4,0,0,,,,,,,,,1513464,,,,2019-06-28 03:36:14.000,1001,,,,,,,,,2019-06-28 04:03:09.942,2019-06-28 04:03:09.942,,2.6944444,,,,1740.7,,104.83,,,,UTC+0900,lv82WtQZxZ,,,9ac814dc-7218-4bbc-a612-4471cc56151d.com.samsung.health.exercise.live_data.json,,1.1501429,com.sec.android.app.shealth,,,,2019-06-28 04:01:27.000,9ac814dc-7218-4bbc-a612-4471cc56151d,
,,,,1,,,,4,0,0,,,,,,,,,867562,,,,2019-07-03 09:09:05.000,1001,,,,,,,,,2019-07-03 09:24:51.175,2019-07-03 09:24:51.175,,2.8333333,,,,1145.92,,45.45,,,,UTC+0900,lv82WtQZxZ,,,f93ff2b9-a590-42b4-8557-debc9aed7046.com.samsung.health.exercise.live_data.json,,1.3208508,com.sec.android.app.shealth,,,,2019-07-03 09:23:32.000,f93ff2b9-a590-42b4-8557-debc9aed7046,
,,,,1,,,,4,0,0,,,,,,,,,1083794,,,,2019-04-24 20:33:00.000,1001,,,,,,,,,2019-04-24 20:55:00.831,2019-04-24 20:55:00.831,,1.6111112,,,,1366.91,,72.69,,,,UTC+0300,lv82WtQZxZ,,,37b50bcb-1e68-4ba3-b084-fd607c06f74b.com.samsung.health.exercise.live_data.json,,1.2612267,com.sec.android.app.shealth,,,,2019-04-24 20:51:03.000,37b50bcb-1e68-4ba3-b084-fd607c06f74b,
,,,,1,,,,4,0,0,,,,,,,,,2405799,,,,2019-05-30 01:54:00.000,1001,,,,,,,,,2019-05-30 05:48:53.179,2019-05-30 03:33:46.111,,1.75,,,,3329.68,,173.13,,,,UTC+0300,lv82WtQZxZ,,,58010bfe-b83b-42b3-8bbd-6f86062b132c.com.samsung.health.exercise.live_data.json,,1.3840225,com.sec.android.app.shealth,,,,2019-05-30 02:34:06.000,58010bfe-b83b-42b3-8bbd-6f86062b132c,
