com.samsung.shealth.report,6123001,3
timezone,start_date,update_time,create_time,type,is_empty,version,deviceuuid,content,pkg_name,datauuid,compressed_content
Asia/Riyadh,1547931600000,2019-02-02 11:58:57.853,2019-01-29 11:49:32.494,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,173a2576-b58d-43e5-a407-62d2036310cb,173a2576-b58d-43e5-a407-62d2036310cb.compressed_content.json,
Asia/Riyadh,1551560400000,2019-03-16 11:50:19.289,2019-03-10 11:51:01.801,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,ca51adec-bf7d-4f85-a146-8c194b32fece,ca51adec-bf7d-4f85-a146-8c194b32fece.compressed_content.json,
Asia/Riyadh,1554670800000,2019-04-20 11:48:59.031,2019-04-19 11:49:53.705,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,1bc763bf-faac-4987-bc37-e92117cc7df3,1bc763bf-faac-4987-bc37-e92117cc7df3.compressed_content.json,
Asia/Riyadh,1558299600000,2019-06-02 11:49:28.349,2019-05-27 11:48:54.461,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,d48232c7-db79-49d5-ad56-d23f4b9f7147,d48232c7-db79-49d5-ad56-d23f4b9f7147.compressed_content.json,
Asia/Riyadh,1548536400000,2019-02-09 11:54:48.270,2019-02-03 11:50:24.650,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,2a24e649-575d-4a3f-b3ce-46790d35e044,2a24e649-575d-4a3f-b3ce-46790d35e044.compressed_content.json,
Asia/Tokyo,1561302000000,2019-07-07 05:49:24.717,2019-07-01 05:49:12.042,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,859b2d6d-168e-4327-8587-77498fd75462,859b2d6d-168e-4327-8587-77498fd75462.compressed_content.json,
Asia/Riyadh,1552165200000,2019-03-23 11:49:48.666,2019-03-17 11:49:22.674,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,e4a967d5-9f0f-4ace-8c2c-6a47a95a443f,e4a967d5-9f0f-4ace-8c2c-6a47a95a443f.compressed_content.json,
Asia/Riyadh,1564347600000,2019-08-11 11:49:05.596,2019-08-05 11:49:32.851,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,c2f7a051-464f-442f-916d-8bf3009a0c42,c2f7a051-464f-442f-916d-8bf3009a0c42.compressed_content.json,
Asia/Riyadh,1555275600000,2019-04-28 11:49:41.671,2019-04-22 09:59:21.752,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,647caccf-c978-4f63-8b0d-2b8e03a893ba,647caccf-c978-4f63-8b0d-2b8e03a893ba.compressed_content.json,
Asia/Riyadh,1567976400000,2019-09-22 11:49:19.316,2019-09-16 11:49:01.878,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,2bff6fa8-9493-4bf4-b624-0043fc823ae7,2bff6fa8-9493-4bf4-b624-0043fc823ae7.compressed_content.json,
Asia/Riyadh,1571605200000,2019-10-29 11:49:04.077,2019-10-29 11:49:01.305,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,53303e42-88b3-4e80-8ddf-e3333984165e,53303e42-88b3-4e80-8ddf-e3333984165e.compressed_content.json,
Asia/Riyadh,1575234000000,2019-12-09 11:58:58.010,2019-12-09 11:58:43.032,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,8bd4f28e-7310-4256-b1a7-565f2508478e,8bd4f28e-7310-4256-b1a7-565f2508478e.compressed_content.json,
Asia/Riyadh,1578862800000,2020-01-20 11:48:53.825,2020-01-20 11:48:50.980,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,9b006fdf-6ba7-4ecb-bf44-d16afaa6dbd9,9b006fdf-6ba7-4ecb-bf44-d16afaa6dbd9.compressed_content.json,
Asia/Riyadh,1558904400000,2019-06-09 11:49:03.809,2019-06-03 11:49:01.401,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,797df715-1134-4c3e-98cf-2c41388529cb,797df715-1134-4c3e-98cf-2c41388529cb.compressed_content.json,
Asia/Riyadh,1582491600000,2020-03-02 11:49:04.321,2020-03-02 11:49:01.390,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,122a38ee-85d8-4f58-8ad1-ed608ff5e2a3,122a38ee-85d8-4f58-8ad1-ed608ff5e2a3.compressed_content.json,
Asia/Riyadh,1586120400000,2020-04-13 11:49:10.401,2020-04-13 11:48:53.559,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,65056fd3-53e1-458c-94b2-b4e6b328b4bb,65056fd3-53e1-458c-94b2-b4e6b328b4bb.compressed_content.json,
Asia/Tokyo,1561906800000,2019-07-08 06:00:08.291,2019-07-08 06:00:05.470,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,331ab087-e757-4cb8-aa72-0b301872f38e,331ab087-e757-4cb8-aa72-0b301872f38e.compressed_content.json,
Asia/Riyadh,1589749200000,2020-05-25 11:49:16.378,2020-05-25 11:49:11.729,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,53fd5222-cbc4-40e0-9296-1ba11cfd8ac0,53fd5222-cbc4-40e0-9296-1ba11cfd8ac0.compressed_content.json,
Asia/Riyadh,1564952400000,2019-08-18 11:48:51.394,2019-08-12 12:03:27.770,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,0ed9620a-f800-42f0-883d-fc18eb7f0aa2,0ed9620a-f800-42f0-883d-fc18eb7f0aa2.compressed_content.json,
Asia/Riyadh,1593378000000,2020-07-06 11:49:07.666,2020-07-06 11:49:04.816,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,574c9ab0-cb1a-4783-b134-a66705066c83,574c9ab0-cb1a-4783-b134-a66705066c83.compressed_content.json,
Asia/Riyadh,1568581200000,2019-09-29 11:50:16.493,2019-09-23 11:50:08.342,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,11526110-a5f4-432e-8583-9345408ca709,11526110-a5f4-432e-8583-9345408ca709.compressed_content.json,
