com.samsung.shealth.step_daily_trend,6123001,6
binning_data,update_time,create_time,source_pkg_name,source_type,count,speed,distance,calorie,deviceuuid,pkg_name,datauuid,day_time
b7c72456-ecf4-4ce0-b06a-517360376657.binning_data.json,2020-01-08 20:02:15.773,2020-01-08 20:02:15.773,com.sec.android.app.shealth,0,5864,6.9444447,4574.89,264.06998,lv82WtQZxZ,com.sec.android.app.shealth,b7c72456-ecf4-4ce0-b06a-517360376657,1548720000000,
775cb8de-8e74-4294-b44f-7dcd87193ee1.binning_data.json,2020-01-08 20:02:15.787,2020-01-08 20:02:15.787,com.sec.android.app.shealth,0,2311,6.8903637,1886.55,113.35,lv82WtQZxZ,com.sec.android.app.shealth,775cb8de-8e74-4294-b44f-7dcd87193ee1,1549065600000,
5817fbbd-9bc3-4beb-81af-3181c9e8018e.binning_data.json,2020-01-08 20:02:15.786,2020-01-08 20:02:15.786,com.sec.android.app.shealth,0,5895,4.883872,4708.11,273.78,lv82WtQZxZ,com.sec.android.app.shealth,5817fbbd-9bc3-4beb-81af-3181c9e8018e,1548979200000,
f9819b44-77cb-4954-8e71-347e25b6d1f4.binning_data.json,2020-01-08 20:02:15.776,2020-01-08 20:02:15.776,com.sec.android.app.shealth,0,5569,4.138889,4393.93,249.38998,lv82WtQZxZ,com.sec.android.app.shealth,f9819b44-77cb-4954-8e71-347e25b6d1f4,1548806400000,
c9bd854e-65ef-42cf-a5de-3b63d9cc7508.binning_data.json,2020-01-08 20:02:15.789,2020-01-08 20:02:15.789,com.sec.android.app.shealth,0,7937,4.6063657,6136.17,348.44998,lv82WtQZxZ,com.sec.android.app.shealth,c9bd854e-65ef-42cf-a5de-3b63d9cc7508,1549238400000,
c2fa9dd1-05bb-4cdf-aa9e-dba0dbd454a6.binning_data.json,2020-01-08 20:02:15.792,2020-01-08 20:02:15.792,com.sec.android.app.shealth,0,5846,6.9444447,4568.97,260.07996,lv82WtQZxZ,com.sec.android.app.shealth,c2fa9dd1-05bb-4cdf-aa9e-dba0dbd454a6,1549497600000,
0c6d84e2-94d6-46eb-9b40-0d0053774943.binning_data.json,2020-01-08 20:02:15.793,2020-01-08 20:02:15.793,com.sec.android.app.shealth,0,4947,4.2215767,3958.67,227.61,lv82WtQZxZ,com.sec.android.app.shealth,0c6d84e2-94d6-46eb-9b40-0d0053774943,1549584000000,
af24b673-f34a-4a85-81af-0ed4bdfcf98f.binning_data.json,2020-01-08 20:02:15.790,2020-01-08 20:02:15.790,com.sec.android.app.shealth,0,2857,6.9444427,2297.4001,135.70999,lv82WtQZxZ,com.sec.android.app.shealth,af24b673-f34a-4a85-81af-0ed4bdfcf98f,1549324800000,
5bd3196a-be9f-4f22-9c2a-a5a53053a0a1.binning_data.json,2020-01-08 20:02:15.795,2020-01-08 20:02:15.795,com.sec.android.app.shealth,0,5313,6.9444427,4180.73,236.7,lv82WtQZxZ,com.sec.android.app.shealth,5bd3196a-be9f-4f22-9c2a-a5a53053a0a1,1549756800000,
6ee52b05-5777-487c-bf8a-8be7159a232c.binning_data.json,2020-01-08 20:02:15.780,2020-01-08 20:02:15.780,com.sec.android.app.shealth,0,8157,4.8055553,6416.2803,368.18997,lv82WtQZxZ,com.sec.android.app.shealth,6ee52b05-5777-487c-bf8a-8be7159a232c,1548892800000,
