com.samsung.shealth.tracker.pedometer_day_summary,6123001,5
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
5864,6fffe93e-7241-4b5b-b52a-7170134baa95.binning_data.json,3129238,4500,79,2019-01-29 21:00:01.637,com.sec.android.app.shealth,2019-01-29 08:31:57.966,,6.9444447,4574.89,264.06998,5785,lv82WtQZxZ,com.sec.android.app.shealth,0,6fffe93e-7241-4b5b-b52a-7170134baa95.achievement.json,6fffe93e-7241-4b5b-b52a-7170134baa95,1548720000000,
5864,cc24a54c-b092-4415-93a0-a7e43715b54c.binning_data.json,3129310,4500,79,2019-01-29 21:00:02.086,com.sec.android.app.shealth,2019-01-28 21:21:04.984,cc24a54c-b092-4415-93a0-a7e43715b54c.source_info.json,1.4619484,4574.89,264.06998,5785,VfS0qUERdZ,com.sec.android.app.shealth,0,cc24a54c-b092-4415-93a0-a7e43715b54c.achievement.json,cc24a54c-b092-4415-93a0-a7e43715b54c,1548720000000,
5569,b726a624-9a19-488b-9794-5f680c18b3a3.binning_data.json,2850608,4500,63,2019-01-30 21:00:02.765,com.sec.android.app.shealth,2019-01-29 21:04:00.251,b726a624-9a19-488b-9794-5f680c18b3a3.source_info.json,1.5414007,4393.93,249.38998,5506,VfS0qUERdZ,com.sec.android.app.shealth,0,b726a624-9a19-488b-9794-5f680c18b3a3.achievement.json,b726a624-9a19-488b-9794-5f680c18b3a3,1548806400000,
5895,c5fd43e8-aa0c-46d6-9d94-7ecdac9e3aa3.binning_data.json,2998668,4500,144,2019-02-02 21:00:05.479,com.sec.android.app.shealth,2019-01-31 21:33:03.591,c5fd43e8-aa0c-46d6-9d94-7ecdac9e3aa3.source_info.json,1.5700667,4708.11,273.78,5751,VfS0qUERdZ,com.sec.android.app.shealth,0,c5fd43e8-aa0c-46d6-9d94-7ecdac9e3aa3.achievement.json,c5fd43e8-aa0c-46d6-9d94-7ecdac9e3aa3,1548979200000,
5895,515ccc68-c8f5-4072-a1c1-d05a00ade468.binning_data.json,2998565,4500,144,2019-02-01 21:09:21.001,com.sec.android.app.shealth,2019-02-01 21:00:03.117,,4.883872,4708.11,273.78,5751,lv82WtQZxZ,com.sec.android.app.shealth,0,515ccc68-c8f5-4072-a1c1-d05a00ade468.achievement.json,515ccc68-c8f5-4072-a1c1-d05a00ade468,1548979200000,
2311,19ff9d18-b6a5-417f-b946-70570fe822d3.binning_data.json,1169545,4500,57,2019-02-02 20:43:46.240,com.sec.android.app.shealth,2019-02-01 21:09:18.954,19ff9d18-b6a5-417f-b946-70570fe822d3.source_info.json,1.6130629,1886.55,113.35,2254,VfS0qUERdZ,com.sec.android.app.shealth,0,19ff9d18-b6a5-417f-b946-70570fe822d3.achievement.json,19ff9d18-b6a5-417f-b946-70570fe822d3,1549065600000,
7937,d3700555-24dc-4a76-a605-fd225f2df097.binning_data.json,4254167,4500,91,2019-02-04 21:00:01.994,com.sec.android.app.shealth,2019-02-04 21:00:01.994,,4.6063657,6136.17,348.44998,7846,lv82WtQZxZ,com.sec.android.app.shealth,0,d3700555-24dc-4a76-a605-fd225f2df097.achievement.json,d3700555-24dc-4a76-a605-fd225f2df097,1549238400000,
5846,b41b53f7-38b4-4c55-aad5-6b03971413dd.binning_data.json,3071782,4500,95,2019-02-07 21:00:04.064,com.sec.android.app.shealth,2019-02-07 21:00:04.064,,6.9444447,4568.97,260.07996,5751,lv82WtQZxZ,com.sec.android.app.shealth,0,b41b53f7-38b4-4c55-aad5-6b03971413dd.achievement.json,b41b53f7-38b4-4c55-aad5-6b03971413dd,1549497600000,
5569,63d4f655-a8a7-4d51-b34c-7a0d0f637df1.binning_data.json,2850532,4500,63,2019-01-30 21:00:01.817,com.sec.android.app.shealth,2019-01-30 21:00:01.817,,4.138889,4393.93,249.38998,5506,lv82WtQZxZ,com.sec.android.app.shealth,0,63d4f655-a8a7-4d51-b34c-7a0d0f637df1.achievement.json,63d4f655-a8a7-4d51-b34c-7a0d0f637df1,1548806400000,
2857,b373fdb8-9f77-4801-a17f-2e17d6fb1849.binning_data.json,1441568,4500,77,2019-02-06 21:00:05.318,com.sec.android.app.shealth,2019-02-04 21:44:28.680,b373fdb8-9f77-4801-a17f-2e17d6fb1849.source_info.json,1.593681,2297.4001,135.70999,2780,VfS0qUERdZ,com.sec.android.app.shealth,0,b373fdb8-9f77-4801-a17f-2e17d6fb1849.achievement.json,b373fdb8-9f77-4801-a17f-2e17d6fb1849,1549324800000,
5313,1de52a57-579a-4aba-abe6-9c14cf17434a.binning_data.json,2741519,4500,70,2019-02-10 21:00:03.133,com.sec.android.app.shealth,2019-02-10 21:00:03.133,,6.944443,4180.73,236.7,5243,lv82WtQZxZ,com.sec.android.app.shealth,0,1de52a57-579a-4aba-abe6-9c14cf17434a.achievement.json,1de52a57-579a-4aba-abe6-9c14cf17434a,1549756800000,
7937,c4084307-5454-46e8-8d7a-ef0260e6d2c6.binning_data.json,4254248,4500,91,2019-02-04 20:47:53.871,com.sec.android.app.shealth,2019-02-03 21:01:12.710,c4084307-5454-46e8-8d7a-ef0260e6d2c6.source_info.json,1.4423629,6136.17,348.44998,7846,VfS0qUERdZ,com.sec.android.app.shealth,0,c4084307-5454-46e8-8d7a-ef0260e6d2c6.achievement.json,c4084307-5454-46e8-8d7a-ef0260e6d2c6,1549238400000,
2311,25af19a6-a662-4655-9ba5-4bc758e9e011.binning_data.json,1169496,4500,57,2019-02-02 21:00:04.398,com.sec.android.app.shealth,2019-02-01 21:09:20.600,,6.8903637,1886.55,113.35,2254,lv82WtQZxZ,com.sec.android.app.shealth,0,25af19a6-a662-4655-9ba5-4bc758e9e011.achievement.json,25af19a6-a662-4655-9ba5-4bc758e9e011,1549065600000,
5846,eb99a283-6e1d-479a-9491-b0f1957be447.binning_data.json,3071854,4500,95,2019-02-07 20:58:13.190,com.sec.android.app.shealth,2019-02-07 04:01:28.890,eb99a283-6e1d-479a-9491-b0f1957be447.source_info.json,1.4873654,4568.97,260.07996,5751,VfS0qUERdZ,com.sec.android.app.shealth,0,eb99a283-6e1d-479a-9491-b0f1957be447.achievement.json,eb99a283-6e1d-479a-9491-b0f1957be447,1549497600000,
4947,4b79d628-f417-49ee-9f75-8c120007d887.binning_data.json,2457523,4500,136,2019-02-09 21:00:06.547,com.sec.android.app.shealth,2019-02-07 21:40:47.472,4b79d628-f417-49ee-9f75-8c120007d887.source_info.json,1.6108375,3958.67,227.61,4811,VfS0qUERdZ,com.sec.android.app.shealth,0,4b79d628-f417-49ee-9f75-8c120007d887.achievement.json,4b79d628-f417-49ee-9f75-8c120007d887,1549584000000,
2857,f0cba517-7f95-4ec1-88bf-c873b7f3fac0.binning_data.json,1441512,4500,77,2019-02-05 21:05:11.483,com.sec.android.app.shealth,2019-02-05 21:00:03.614,,6.944443,2297.4001,135.70999,2780,lv82WtQZxZ,com.sec.android.app.shealth,0,f0cba517-7f95-4ec1-88bf-c873b7f3fac0.achievement.json,f0cba517-7f95-4ec1-88bf-c873b7f3fac0,1549324800000,
4302,e468a69a-5f70-4a50-a3a6-69c37372c66b.binning_data.json,2139871,4500,114,2019-02-13 21:00:06.622,com.sec.android.app.shealth,2019-02-13 21:00:06.622,,4.248703,3437.42,198.04999,4188,lv82WtQZxZ,com.sec.android.app.shealth,0,e468a69a-5f70-4a50-a3a6-69c37372c66b.achievement.json,e468a69a-5f70-4a50-a3a6-69c37372c66b,1550016000000,
4947,36ec6790-4120-4c18-893e-89d376dbdd14.binning_data.json,2457460,4500,136,2019-02-08 21:00:10.092,com.sec.android.app.shealth,2019-02-08 21:00:02.376,,4.2215767,3958.67,227.61,4811,lv82WtQZxZ,com.sec.android.app.shealth,0,36ec6790-4120-4c18-893e-89d376dbdd14.achievement.json,36ec6790-4120-4c18-893e-89d376dbdd14,1549584000000,
