com.samsung.shealth.tracker.pedometer_step_count,6123001,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
5181,4,0,10,2020-11-06 21:05:00.000,,,2020-11-06 21:05:35.546,2020-11-06 21:05:35.546,10,1.4166666,7.34,0.41,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-06 21:06:00.000,3f4d87d2-752a-44bf-a3c0-ea0ab4c8fbdc,
11518,4,0,19,2020-11-06 21:06:00.000,,,2020-11-06 21:06:39.963,2020-11-06 21:06:29.066,19,1.2050563,13.879999,0.79,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-06 21:07:00.000,1ca01f7f-e1a6-46cd-9dd4-b3713278d847,
9503,4,0,17,2020-11-06 21:07:00.000,,,2020-11-06 21:07:45.820,2020-11-06 21:07:45.595,17,1.7224765,16.369999,1.1,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-06 21:08:00.000,5cd2e859-387d-4208-9b4e-ad5dc6c49d57,
27905,4,0,55,2020-11-06 21:18:00.000,,,2020-11-06 21:19:04.151,2020-11-06 21:18:21.619,55,1.7860302,49.839996,3.1899996,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-06 21:19:00.000,21722f5a-b703-4e24-863f-56e45dc9c241,
12568,4,0,29,2020-11-06 21:14:00.000,,,2020-11-06 21:14:59.966,2020-11-06 21:14:48.375,29,1.8943497,23.81,1.2199999,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-06 21:15:00.000,d87f17de-d892-42e8-8c55-7889b7bed743,
2145,4,0,8,2020-11-07 04:55:00.000,,,2020-11-07 04:55:37.443,2020-11-07 04:55:37.442,8,3.0248373,6.49,0.29999998,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-07 04:56:00.000,b0de2f20-bb55-4886-8d43-9138b6b880d8,
5250,4,0,8,2020-11-06 21:16:00.000,,,2020-11-06 21:18:21.475,2020-11-06 21:18:21.475,8,1.3333334,7.0,0.49,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-06 21:17:00.000,39aa9593-03cb-4351-805b-1e1921424559,
20724,4,0,39,2020-11-07 05:33:00.000,,,2020-11-07 05:35:00.171,2020-11-07 05:35:00.171,39,1.4166666,29.36,1.58,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-07 05:34:00.000,46698fdb-d73f-47c6-beed-92b0b8964f3e,
24896,4,0,43,2020-11-06 21:11:00.000,,,2020-11-06 21:11:56.204,2020-11-06 21:11:22.717,43,1.3082179,32.57,1.7399998,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-06 21:12:00.000,c832b0b6-fd83-4bc4-89f4-9a0a8093a0d6,
4743,4,0,9,2020-11-07 06:22:00.000,,,2020-11-07 06:34:59.169,2020-11-07 06:34:59.169,9,1.4166666,6.72,0.37,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-07 06:23:00.000,9242a41c-e951-4a7f-85b2-c10cf1776347,
